RHODEN LARRY ROBERT,SD,REP,143996.00
NELSON STACEY STACE VICTOR,SD,REP,143234.00
BELL JEFFREY,NJ,REP,132815.00
LIND HOWARD RHODES,VA,REP,129059.00
CAVASSO CAMPBELL,HI,REP,114994.00
STOCKMAN STEVE,TX,REP,114302.00
GARDNER ARTHUR AUGUSTINE,GA,REP,102796.00
RUBENS JIM,NH,REP,89697.00
STOVALL DWAYNE BRADLEY,TX,REP,83774.00
HILL SHAK,VA,REP,82595.00
STEPHENS AMY,CO,REP,81741.00
MAPP CHRISTOPHER KEVIN,TX,REP,74136.93
HOLLIS PAUL B,LA,REP,74020.00
ECK ALIETA,NJ,REP,61032.00
SABRIN MURRAY,NJ,REP,58621.00
ADDIVINOLA FRANK J JR,MA,REP,56334.35
HERR BRIAN,MA,REP,53351.00
TESTERMAN KAREN,NH,REP,50438.00
ALEXANDER TED,NC,REP,31650.00
MCGEEHAN PAT,WV,REP,31537.00
PEZZULLO RICHARD ,NJ,REP,30324.00
EDMUNDS JR RICHARD CHAMPION,MT,REP,29539.00
CALLAHAN MARK ALLEN,OR,REP,27111.00
TRUJILLO FLOYD,CO,REP,24730.00
BRENDA SHIVON LENARD,TN,REP,23286.00
GRAYSON DERRICK EARL,GA,REP,21636.00
CARPENTER SAMUEL STEPHEN,OR,REP,18670.00
SCHABEN SCOTT,IA,REP,18621.00
CLEMENTS DAVID KALE,NM,REP,17901.00
VEGA LINDA,TX,REP,16306.00
THONEY ROGER,KY,REP,14775.00
DUNN BENJAMIN,SC,REP,14337.00
MCMILLAN JAIME,CO,REP,14010.00
WADE KEVIN L,DE,REP,13204.00
DETORA ANTHONY,VA,REP,13200.00
CRAWLEY TIMOTHY,OR,REP,12963.00
RAVNSBORG JASON,SD,REP,12227.00
INMAN J MARK,MA,REP,10550.00
ZACCARIA MARK S,RI,REP,9800.00
PERKINS JO RAE,OR,REP,9405.00
BAUMGARDNER RANDY L,CO,REP,9352.00
FLYNN WILLIAM,NC,REP,7364.00
FLINN GEORGE SHEA,TN,REP,7000.00
GRANT HEATHER ANDERSON,NC,REP,6649.00
JOHNSON CLIFTON R,NE,REP,6058.00
CROW KEVIN HENRY,OK,REP,6049.00
WEGER JASON MARK,OK,REP,5800.00
DODRILL MATTHEW STEPHEN,WV,REP,5410.00
COPE KENNETH CLIFFORD JR,TX,REP,4762.00
WATSON JERRY B,NJ,REP,4000.00
MOSS CHARLES EDWARD,VA,REP,3735.00
GOLDBERG BRIAN DAVID,NJ,REP,3112.00
ROGERS EVELYN L,OK,REP,2183.00
PARRISH PHILLIP CHARLES,MN,REP,1200.00
LEMASTERS RICHARD GRAHAM,WV,REP,1144.00
CLEAVER CURTIS CHRISTOPHER,TX,REP,1004.00
LEE WILLIAM JOHN,IL,REP,900.00
AGNEW FRANK CHRISTIAN,TN,REP,200.00
EMBLER TERRY,NC,REP,138.00
WYATT ERICK PAUL,TX,REP,25.00
SMITH DELLA JEAN,KS,REP,5.00
ZAHNTER ALVIN E.,KS,REP,
YOUNG RANDALL,SC,REP,
WYATT ERICK PAUL,OK,REP,
STERLING SHAWNA,KY,REP,
SNYDER JAMES EUGENE JR,NC,REP,
SMINK CARL,DE,REP,
SHUDLICK HAROLD A,MN,REP,
SAVIOR OLE',MN,REP,
RUIZ JOSE MANUEL,IL,REP,
ROCO JOHN,HI,REP,
REASOR REID DAVID,TX,REP,
PROCARRONE SHERRY,IL,REP,
PIRKOWSKI EDWARD (EDDIE),HI,REP,
PAYNE CHRIS,KY,REP,
O'NEAL AARON GRAY,NC,REP,
MUNRO PATRICK D.,MN,REP,
MOYE ROB,OK,REP,
MILLER BRYAN EDWARD,WY,REP,
MCCRAY ERIC C,OK,REP,
MCBRIDE-SAMUELS D. JEAN,OK,REP,
MATHER JOSHUA PIKE,KY,REP,
MARTIN GURLEY L,KY,REP,
MARTIN ANDY,NH,REP,
MAGEE ERIN KENT,TN,REP,
LUNDE PAUL DAVID,IA,REP,
LENARD BRENDA S,TN,REP,
LATVAAHO DAVID H,MN,REP,
LAROSE JOE,NH,REP,
LAFLEY STEPHEN PATRICK,CO,REP,
KRYN EDWARD,NC,REP,
KING JOHN D,TN,REP,
KELLY WALTER W.,NH,REP,
KELLER MARC ALEXANDER PAUL,OR,REP,
JARAMILLO JOHN MICHAEL,AK,REP,
HEGHMANN BOB,NH,REP,
GREGORY JAMES 'COALTRAIN',WY,REP,
FRIEL HARRY,HI,REP,
FELICIANO SUAN DAVID,SC,REP,
FARNHAM MARK W,NH,REP,
DZIEDZIC MIRO,NH,REP,
D'ARCY ROBERT,NH,REP,
D'ANNUNZIO TIMOTHY BRUCE,NC,REP,
CUNDIFF SUSAN MARIE,MT,REP,
CRAIG ANDREW WILLIAM,OK,REP,
COPAS JAMES BRADLEY,KY,REP,
CONOVER FLOYD R,TN,REP,
CLIFTON ARTHUR BRUCE,WY,REP,
CLEMENTS THOMAS PATRICK,LA,REP,
CHADWICK MICHAEL L,ID,REP,
CARLSON DAVID,MN,REP,
CAREY THOMAS L.,MS,REP,
BUTCHER LARRY EUGENE,WV,REP,
BRADSHAW ALEX LEE,NC,REP,
BLEMING THOMAS,WY,REP,
BENNETT ERICK MATTHEW I,ME,REP,
BELOIN  GERARD,NH,REP,
ASPIRI MARK HANDLEY,CO,REP,
ANDERSON JEREMY T,IN,REP,
ANDERSON JEREMY 'T',ID,REP,
ANDERSON FRED R.,TN,REP,
ALVAREZ ARMEN,IL,REP,
